id,hip,label,proper,aliases,RA_deg,DEC_deg,distance_pc,distance_ly,spect,mag
97338,97649,Altair,Altair,HIP 97649 | HD 187642 | HR 7557 | Gl 768 | 53Alp Aql,297.69582,8.868322,5.1295,16.73017202,A7IV-V,0.76
118578,,HYG 118578,,GJ 1116A,134.563515,19.763287,5.2274,17.04947874,m,14.06
118579,,HYG 118579,,GJ 1116B,134.563515,19.764954,5.2274,17.04947874,m,14.92
67380,67593,HIP 67593,,HIP 67593,207.76155,23.776677,5.3259,17.3707424,,13.31
57371,57544,HIP 57544,,HIP 57544 | Gl 445,176.914995,78.69116,5.3516,17.4545645,M4,10.8
118406,,HYG 118406,,GJ 3379,90.014865,2.707087,5.3677,17.50707561,M4,11.33
66943,67155,HIP 67155,,HIP 67155 | HD 119850 | Gl 526,206.43225,14.89152,5.3911,17.58339612,M3V,8.46
118311,,HYG 118311,,Gl 169.1B,67.778895,58.981451,5.5139,17.98391568,DC5,12.44
58735,58910,HIP 58910,,HIP 58910 | HD 104901,181.20342,-62.002292,5.5169,17.99370036,F0Ib-II,7.57
21036,21088,HIP 21088,,HIP 21088 | Gl 169.1A,67.79502,58.977072,5.5782,18.19363399,,10.82
33139,33226,HIP 33226,,HIP 33226 | HD 265866,103.70433,33.268175,5.5863,18.22005263,K:...,9.89
83352,83609,HIP 83609,,HIP 83609,256.336515,-33.767358,5.6155,18.31529018,G0,9.25
25813,25878,HIP 25878,,HIP 25878 | HD 36395 | Gl 205,82.864155,-3.677229,5.6571,18.45097108,M1V,7.97
119276,,HYG 119276,,Gl 754,290.19678,-45.55959,5.6915,18.56316874,M4.5,12.23
102708,103039,HIP 103039,,HIP 103039,313.1376,-16.974738,5.7133,18.63427075,,11.41
119113,,HYG 119113,,Gl 644C,253.89711,-8.395842,5.7395,18.71972362,M7,16.78
119112,,HYG 119112,,Gl 644B,253.867815,-8.3376,5.7395,18.71972362,,9.9
29222,29295,HIP 29295,,HIP 29295 | HD 42581 | Gl 229,92.64426,-21.864643,5.7534,18.7650593,M1/M2V,8.15
95799,96100,Alsafi,Alsafi,HIP 96100 | HD 185144 | HR 7462 | Gl 764 | 61Sig Dra,293.087235,69.661175,5.7547,18.76929933,K0V,4.67
118447,,HYG 118447,,Gl 251,103.70409,33.270718,5.7604,18.78789022,dM4,10.01
45211,45343,HIP 45343,,HIP 45343 | HD 79210 | Gl 338A,138.59739,52.686625,5.8113,18.95390363,M0V,7.64
26792,26857,HIP 26857,,HIP 26857 | Gl 213,85.53849,12.489337,5.8292,19.01228555,M5,11.56
86722,86990,HIP 86990,,HIP 86990 | Gl 693,266.644935,-57.319042,5.8316,19.0201133,M5,10.75
72957,73184,HIP 73184,,HIP 73184 | HD 131977 | HR 5568 | Gl 570A,224.366475,-21.415475,5.8404,19.04881502,K4V,5.72
94466,94761,HIP 94761,,HIP 94761 | HD 180617 | Gl 752A,289.23024,5.168904,5.8699,19.14503104,M3.5V,9.12
119275,,HYG 119275,,Gl 752B,289.24215,5.148625,5.8734,19.1564465,dM5  e,17.52
118532,,HYG 118532,,Gl 300,123.16962,-21.551445,5.8824,19.18580054,M4,12.1
72955,73182,HIP 73182,,HIP 73182 | HD 131976 | Gl 570B,224.360415,-21.41152,5.9252,19.32539531,K5V,8.01
75841,76074,HIP 76074,,HIP 76074 | Gl 588,233.05482,-41.275586,5.9291,19.3381154,M0,9.31
84147,84405,Guniibuu,Guniibuu,HIP 84405 | HD 155885 | HR 6401 | Gl 663A | 36    Oph,258.83754,-26.602829,5.9333,19.35181395,K2:III:,4.33
118021,,HYG 118021,,Gl 34B,12.25533,57.817365,5.9527,19.41508821,K7 V,7.51
3814,3821,Achird,Achird,HIP 3821 | HD 4614 | HR 219 | Gl 34A | 24Eta Cas,12.2739,57.815187,5.9531,19.41639284,G0V SB,3.46
37659,37766,HIP 37766,,HIP 37766 | Gl 285,116.167395,3.552454,5.9566,19.4278083,M4.5Ve,11.19
84220,84478,HIP 84478,,HIP 84478 | HD 156026 | Gl 664,259.05582,-26.546147,5.9705,19.47314398,K5V,6.33
117106,117473,HIP 117473,,HIP 117473 | Gl 908,357.30219,2.401223,5.9776,19.49630106,M2V,8.98
83882,84140,HIP 84140,,HIP 84140 | HD 155876 | Gl 661A,258.032535,45.665974,5.9776,19.49630106,K5,9.31
119135,,Guniibuu B,Guniibuu B,HD 155886 | HR 6402 | Gl 663B | 36    Oph,258.83601,-26.603215,5.9852,19.52108891,K1 Ve,5.07
99143,99461,HIP 99461,,HIP 99461 | HD 191408 | HR 7703 | Gl 783A,302.79948,-36.101212,6.015,19.6182834,K2V,5.32
